tipo;id;url;pagina_origem;painel
curso;1075;https://www.escolavirtual.gov.br/curso/1075;18;Não
curso;1274;https://www.escolavirtual.gov.br/curso/1274;18;Não
curso;1295;https://www.escolavirtual.gov.br/curso/1295;18;Não
curso;1040;https://www.escolavirtual.gov.br/curso/1040;18;Não
curso;1041;https://www.escolavirtual.gov.br/curso/1041;18;Não
curso;1296;https://www.escolavirtual.gov.br/curso/1296;18;Não
curso;1291;https://www.escolavirtual.gov.br/curso/1291;19;Não
curso;1271;https://www.escolavirtual.gov.br/curso/1271;19;Não
curso;1290;https://www.escolavirtual.gov.br/curso/1290;19;Não
curso;1289;https://www.escolavirtual.gov.br/curso/1289;19;Não
curso;847;https://www.escolavirtual.gov.br/curso/847;19;Não
curso;1287;https://www.escolavirtual.gov.br/curso/1287;19;Não
curso;1288;https://www.escolavirtual.gov.br/curso/1288;19;Não
curso;1232;https://www.escolavirtual.gov.br/curso/1232;19;Não
curso;1256;https://www.escolavirtual.gov.br/curso/1256;19;Não
curso;1258;https://www.escolavirtual.gov.br/curso/1258;19;Não
curso;1257;https://www.escolavirtual.gov.br/curso/1257;19;Não
curso;1261;https://www.escolavirtual.gov.br/curso/1261;19;Não
curso;1260;https://www.escolavirtual.gov.br/curso/1260;20;Não
curso;1259;https://www.escolavirtual.gov.br/curso/1259;20;Não
curso;1263;https://www.escolavirtual.gov.br/curso/1263;20;Sim
curso;810;https://www.escolavirtual.gov.br/curso/810;20;Sim
curso;1195;https://www.escolavirtual.gov.br/curso/1195;20;Não
curso;1247;https://www.escolavirtual.gov.br/curso/1247;20;Não
curso;1248;https://www.escolavirtual.gov.br/curso/1248;20;Não
curso;1014;https://www.escolavirtual.gov.br/curso/1014;20;Não
curso;1233;https://www.escolavirtual.gov.br/curso/1233;20;Não
curso;1214;https://www.escolavirtual.gov.br/curso/1214;20;Não
curso;884;https://www.escolavirtual.gov.br/curso/884;20;Não
curso;851;https://www.escolavirtual.gov.br/curso/851;20;Não
curso;1219;https://www.escolavirtual.gov.br/curso/1219;21;Não
curso;1221;https://www.escolavirtual.gov.br/curso/1221;21;Não
curso;1185;https://www.escolavirtual.gov.br/curso/1185;21;Não
curso;1218;https://www.escolavirtual.gov.br/curso/1218;21;Não
curso;1213;https://www.escolavirtual.gov.br/curso/1213;21;Não
curso;1188;https://www.escolavirtual.gov.br/curso/1188;21;Não
curso;1179;https://www.escolavirtual.gov.br/curso/1179;21;Não
curso;1140;https://www.escolavirtual.gov.br/curso/1140;21;Não
curso;1172;https://www.escolavirtual.gov.br/curso/1172;21;Não
curso;1177;https://www.escolavirtual.gov.br/curso/1177;21;Não
curso;662;https://www.escolavirtual.gov.br/curso/662;21;Não
curso;1187;https://www.escolavirtual.gov.br/curso/1187;21;Não
curso;1211;https://www.escolavirtual.gov.br/curso/1211;22;Não
curso;849;https://www.escolavirtual.gov.br/curso/849;22;Não
curso;1168;https://www.escolavirtual.gov.br/curso/1168;22;Não
curso;194;https://www.escolavirtual.gov.br/curso/194;22;Não
curso;1173;https://www.escolavirtual.gov.br/curso/1173;22;Não
curso;1189;https://www.escolavirtual.gov.br/curso/1189;22;Não
curso;1174;https://www.escolavirtual.gov.br/curso/1174;22;Não
